peptide,full_name,slug,category,categoryLabel,dosageOptions,lot,variants,variantSlugs,targetFilename,reason
"Gonadorelin Acetate","Gonadorelin Acetate 2mg","imported-gonadorelin-acetate-2mg","research","Research Peptide","2","IMP-0031","1","imported-gonadorelin-acetate-2mg","gonadorelin.jpg","missing-file"
"NA Selank amidate","NA Selank amidate 30mg","imported-na-selank-amidate-30mg","research","Research Peptide","30","IMP-0032","1","imported-na-selank-amidate-30mg","na-selank-amidate.jpg","placeholder"
"Oxytocin Acetate","Oxytocin Acetate","imported-oxytocin-acetate","research","Research Peptide","2/5","IMP-0033","1","imported-oxytocin-acetate","oxytocin.jpg","missing-file"
"Epithalon","Epithalon","imported-epithalon","research","Research Peptide","10/40/50","IMP-0036","1","imported-epithalon","epithalon.jpg","placeholder"
"ACE‑031","ACE‑031 1mg","imported-ace-031-1mg","research","Research Peptide","1","IMP-0041","1","imported-ace-031-1mg","ace-031-1mg.jpg","missing-file"
"AICAR","AICAR","imported-aicar","research","Research Peptide","50/100","IMP-0042","1","imported-aicar","aicar.jpg","missing-file"
"Adipotide","Adipotide 5mg","imported-adipotide-5mg","research","Research Peptide","5","IMP-0044","1","imported-adipotide-5mg","adipotide.jpg","missing-file"
"Semax+ Selank","Semax 10 mg + Selank 10 mg 20mg","imported-semax-10-mg-selank-10-mg-20mg","research","Research Peptide","20","IMP-0046","1","imported-semax-10-mg-selank-10-mg-20mg","semax-10-mg-selank-10.jpg","placeholder"
"Semaglutide","Semaglutide","imported-semaglutide","research","Research Peptide","2/5/10/15/20/30","IMP-0047","1","imported-semaglutide","semaglutide.jpg","placeholder"
"GHRP‑2 Acetate","GHRP‑2 Acetate","imported-ghrp-2-acetate","research","Research Peptide","5/10","IMP-0053","1","imported-ghrp-2-acetate","ghrp-2.jpg","placeholder"
"GHRP‑6 Acetate","GHRP‑6 Acetate","imported-ghrp-6-acetate","research","Research Peptide","5/10","IMP-0055","1","imported-ghrp-6-acetate","ghrp-6.jpg","placeholder"
"CJC‑1295 without DAC","CJC‑1295 without DAC 2mg","imported-cjc-1295-without-dac-2mg","research","Research Peptide","2","IMP-0057","3","imported-cjc-1295-without-dac-2mg; imported-cjc-1295-without-dac-5mg; imported-cjc-1295-without-dac-10mg","cjc-1295-without-dac.jpg","missing-file"
"CJC‑1295 without DAC+ IPA","CJC‑1295 without DAC 5 mg + IPA 5 mg 10mg","imported-cjc-1295-without-dac-5-mg-ipa-5-mg-10mg","research","Research Peptide","10","IMP-0060","1","imported-cjc-1295-without-dac-5-mg-ipa-5-mg-10mg","cjc-1295-without-dac-5-mg-ipa-5.jpg","missing-file"
